shape,weight,area,d,b,t,y,yp,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,ro,H
DBL_L8X6X9_16X3_4LLBB,51.4,15.2,8.0,6.0,0.563,2.48,1.24,98.8,32.4,17.9,2.55,101.0,28.4,15.8,2.58,4.24,0.731
DBL_L8X6X1_2LLBB,46.0,13.6,8.0,6.0,0.5,2.46,1.2,88.8,29.2,16.0,2.55,72.6,19.9,12.1,2.31,4.09,0.709
DBL_L8X6X1_2X3_8LLBB,46.0,13.6,8.0,6.0,0.5,2.46,1.2,88.8,29.2,16.0,2.55,80.3,22.4,13.0,2.43,4.16,0.719
DBL_L8X6X1_2X3_4LLBB,46.0,13.6,8.0,6.0,0.5,2.46,1.2,88.8,29.2,16.0,2.55,89.1,25.0,14.0,2.56,4.24,0.729
DBL_L8X6X7_16LLBB,40.4,12.0,8.0,6.0,0.438,2.43,1.15,78.6,25.8,14.1,2.56,63.5,17.3,10.6,2.3,4.09,0.708
DBL_L8X6X7_16X3_8LLBB,40.4,12.0,8.0,6.0,0.438,2.43,1.15,78.6,25.8,14.1,2.56,70.3,19.5,11.4,2.42,4.16,0.718
DBL_L8X6X7_16X3_4LLBB,40.4,12.0,8.0,6.0,0.438,2.43,1.15,78.6,25.8,14.1,2.56,78.0,21.7,12.2,2.55,4.24,0.728
DBL_L8X4X1LLBB,74.8,22.2,8.0,4.0,1.0,3.03,2.45,139.0,48.6,28.0,2.51,47.3,23.1,11.8,1.46,3.86,0.568
DBL_L8X4X1X3_8LLBB,74.8,22.2,8.0,4.0,1.0,3.03,2.45,139.0,48.6,28.0,2.51,56.8,27.3,13.6,1.6,3.91,0.58
DBL_L8X4X1X3_4LLBB,74.8,22.2,8.0,4.0,1.0,3.03,2.45,139.0,48.6,28.0,2.51,68.0,31.4,15.5,1.75,3.97,0.594
DBL_L8X4X7_8LLBB,66.2,19.6,8.0,4.0,0.875,2.99,2.41,125.0,43.4,25.0,2.53,40.6,19.5,10.2,1.44,3.87,0.566
DBL_L8X4X7_8X3_8LLBB,66.2,19.6,8.0,4.0,0.875,2.99,2.41,125.0,43.4,25.0,2.53,48.3,23.2,11.5,1.57,3.92,0.577
DBL_L8X4X7_8X3_4LLBB,66.2,19.6,8.0,4.0,0.875,2.99,2.41,125.0,43.4,25.0,2.53,58.0,26.9,13.3,1.72,3.98,0.59
DBL_L8X4X3_4LLBB,57.4,17.0,8.0,4.0,0.75,2.94,2.34,110.0,37.8,21.8,2.55,34.3,16.1,8.57,1.42,3.88,0.564
DBL_L8X4X3_4X3_8LLBB,57.4,17.0,8.0,4.0,0.75,2.94,2.34,110.0,37.8,21.8,2.55,40.8,19.3,9.74,1.55,3.93,0.575
DBL_L8X4X3_4X3_4LLBB,57.4,17.0,8.0,4.0,0.75,2.94,2.34,110.0,37.8,21.8,2.55,48.6,22.5,11.1,1.69,3.99,0.587
DBL_L8X4X5_8LLBB,48.4,14.3,8.0,4.0,0.625,2.89,2.27,94.0,32.2,18.4,2.56,27.6,12.9,6.9,1.39,3.89,0.562
DBL_L8X4X5_8X3_8LLBB,48.4,14.3,8.0,4.0,0.625,2.89,2.27,94.0,32.2,18.4,2.56,33.0,15.6,7.88,1.52,3.94,0.573
DBL_L8X4X5_8X3_4LLBB,48.4,14.3,8.0,4.0,0.625,2.89,2.27,94.0,32.2,18.4,2.56,39.4,18.3,9.01,1.66,3.99,0.585
DBL_L8X4X9_16LLBB,43.8,13.0,8.0,4.0,0.563,2.86,2.23,85.8,29.2,16.7,2.57,24.8,11.4,6.2,1.38,3.9,0.562
DBL_L8X4X9_16X3_8LLBB,43.8,13.0,8.0,4.0,0.563,2.86,2.23,85.8,29.2,16.7,2.57,29.6,13.8,7.07,1.51,3.94,0.572
DBL_L8X4X9_16X3_4LLBB,43.8,13.0,8.0,4.0,0.563,2.86,2.23,85.8,29.2,16.7,2.57,35.4,16.3,8.09,1.65,4.0,0.584
DBL_L8X4X1_2LLBB,39.2,11.6,8.0,4.0,0.5,2.84,2.2,77.2,26.2,15.0,2.58,22.1,9.91,5.52,1.38,3.9,0.561
DBL_L8X4X1_2X3_8LLBB,39.2,11.6,8.0,4.0,0.5,2.84,2.2,77.2,26.2,15.0,2.58,26.1,12.1,6.23,1.5,3.95,0.571
DBL_L8X4X1_2X3_4LLBB,39.2,11.6,8.0,4.0,0.5,2.84,2.2,77.2,26.2,15.0,2.58,30.8,14.3,7.04,1.63,4.0,0.583
DBL_L8X4X7_16LLBB,34.4,10.2,8.0,4.0,0.438,2.81,2.16,68.4,23.2,13.2,2.59,19.1,8.47,4.78,1.37,3.91,0.561
DBL_L8X4X7_16X3_8LLBB,34.4,10.2,8.0,4.0,0.438,2.81,2.16,68.4,23.2,13.2,2.59,22.6,10.4,5.4,1.49,3.95,0.571
DBL_L8X4X7_16X3_4LLBB,34.4,10.2,8.0,4.0,0.438,2.81,2.16,68.4,23.2,13.2,2.59,26.8,12.3,6.13,1.62,4.0,0.582
DBL_L7X4X3_4LLBB,52.4,15.5,7.0,4.0,0.75,2.5,1.84,75.6,29.6,16.8,2.21,34.0,15.5,8.5,1.48,3.41,0.611
DBL_L7X4X3_4X3_8LLBB,52.4,15.5,7.0,4.0,0.75,2.5,1.84,75.6,29.6,16.8,2.21,40.2,18.4,9.6,1.61,3.47,0.624
DBL_L7X4X3_4X3_4LLBB,52.4,15.5,7.0,4.0,0.75,2.5,1.84,75.6,29.6,16.8,2.21,47.5,21.3,10.9,1.75,3.53,0.639
DBL_L7X4X5_8LLBB,44.2,13.0,7.0,4.0,0.625,2.45,1.8,64.8,25.0,14.2,2.23,27.3,12.5,6.82,1.45,3.42,0.608
DBL_L7X4X5_8X3_8LLBB,44.2,13.0,7.0,4.0,0.625,2.45,1.8,64.8,25.0,14.2,2.23,32.5,14.9,7.76,1.58,3.47,0.621
DBL_L7X4X5_8X3_4LLBB,44.2,13.0,7.0,4.0,0.625,2.45,1.8,64.8,25.0,14.2,2.23,38.9,17.3,8.89,1.73,3.54,0.635
DBL_L7X4X1_2LLBB,35.8,10.5,7.0,4.0,0.5,2.4,1.74,53.2,20.4,11.6,2.25,21.8,9.57,5.45,1.44,3.43,0.606
DBL_L7X4X1_2X3_8LLBB,35.8,10.5,7.0,4.0,0.5,2.4,1.74,53.2,20.4,11.6,2.25,25.6,11.5,6.11,1.56,3.48,0.618
DBL_L7X4X1_2X3_4LLBB,35.8,10.5,7.0,4.0,0.5,2.4,1.74,53.2,20.4,11.6,2.25,30.3,13.5,6.93,1.7,3.55,0.632
DBL_L7X4X7_16LLBB,31.4,9.26,7.0,4.0,0.438,2.38,1.71,47.2,18.1,10.2,2.26,18.9,8.2,4.72,1.43,3.43,0.605
DBL_L7X4X7_16X3_8LLBB,31.4,9.26,7.0,4.0,0.438,2.38,1.71,47.2,18.1,10.2,2.26,22.2,9.94,5.3,1.55,3.49,0.617
DBL_L7X4X7_16X3_4LLBB,31.4,9.26,7.0,4.0,0.438,2.38,1.71,47.2,18.1,10.2,2.26,26.1,11.7,5.97,1.68,3.55,0.63
DBL_L7X4X3_8LLBB,27.2,8.0,7.0,4.0,0.375,2.35,1.67,41.0,15.6,8.84,2.27,16.1,6.89,4.03,1.42,3.44,0.605
DBL_L7X4X3_8X3_8LLBB,27.2,8.0,7.0,4.0,0.375,2.35,1.67,41.0,15.6,8.84,2.27,19.0,8.39,4.54,1.54,3.49,0.616
DBL_L7X4X3_8X3_4LLBB,27.2,8.0,7.0,4.0,0.375,2.35,1.67,41.0,15.6,8.84,2.27,22.3,9.89,5.1,1.67,3.55,0.629
DBL_L6X4X7_8LLBB,54.4,16.0,6.0,4.0,0.875,2.12,1.43,55.4,25.4,14.3,1.86,39.4,17.9,9.85,1.57,2.96,0.678
DBL_L6X4X7_8X3_8LLBB,54.4,16.0,6.0,4.0,0.875,2.12,1.43,55.4,25.4,14.3,1.86,46.8,20.9,11.2,1.71,3.04,0.694
DBL_L6X4X7_8X3_4LLBB,54.4,16.0,6.0,4.0,0.875,2.12,1.43,55.4,25.4,14.3,1.86,55.4,23.9,12.7,1.86,3.12,0.71
DBL_L6X4X3_4LLBB,47.2,13.9,6.0,4.0,0.75,2.07,1.37,49.0,22.2,12.5,1.88,33.4,14.9,8.35,1.55,2.97,0.673
DBL_L6X4X3_4X3_8LLBB,47.2,13.9,6.0,4.0,0.75,2.07,1.37,49.0,22.2,12.5,1.88,39.2,17.5,9.36,1.68,3.04,0.688
