shape,weight,area,d,b,t,k,x,y,xp,yp,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,ro,H,tan_a,Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,PA,PA2,PB
L3X2X1_4,4.1,1.2,2.0,3.0,0.25,0.563,0.487,0.98,0.2,0.6,1.09,0.969,0.541,0.953,0.39,0.463,0.258,0.569,0.223,0.431,0.214,0.027,0.0132,1.45,–,0.437,1.26,1.39,0.702,2.0,1.04,0.84,0.48,0.906,1.79,0.63,0.214,0.265,0.465,8.0,7.0,10
L3X2X3_16,3.07,0.917,2.0,3.0,0.188,0.5,0.462,0.952,0.153,0.555,0.847,0.743,0.414,0.961,0.305,0.351,0.198,0.577,0.173,0.435,0.163,0.0119,0.00576,1.46,–,0.442,0.979,1.41,0.683,2.02,1.06,0.808,0.493,0.694,1.43,0.485,0.163,0.214,0.351,8.0,7.0,10
L2_1_2X2_1_2X1_2,7.7,2.26,2.5,2.5,0.5,0.75,0.803,0.803,0.452,0.452,1.22,1.29,0.716,0.735,1.22,1.29,0.716,0.735,0.526,0.481,0.461,0.188,0.0791,1.3,0.64,1.0,1.92,1.59,0.0,1.59,0.809,1.14,0.809,1.21,–,1.21,0.65,0.461,0.65,7.5,7.5,10
L2_1_2X2_1_2X3_8,5.9,1.73,2.5,2.5,0.375,0.625,0.758,0.758,0.346,0.346,0.972,1.01,0.558,0.749,0.972,1.01,0.558,0.749,0.4,0.481,0.374,0.0833,0.0362,1.33,0.63,1.0,1.54,1.64,0.0,1.64,0.828,1.07,0.828,0.939,–,0.939,0.483,0.374,0.483,7.5,7.5,10
L2_1_2X2_1_2X5_16,5.0,1.46,2.5,2.5,0.313,0.563,0.735,0.735,0.292,0.292,0.837,0.853,0.474,0.756,0.837,0.853,0.474,0.756,0.338,0.481,0.325,0.0495,0.0218,1.35,0.63,1.0,1.34,1.66,0.0,1.66,0.839,1.04,0.839,0.807,–,0.807,0.403,0.325,0.403,7.5,7.5,10
L2_1_2X2_1_2X1_4,4.1,1.19,2.5,2.5,0.25,0.5,0.711,0.711,0.238,0.238,0.692,0.695,0.387,0.764,0.692,0.695,0.387,0.764,0.276,0.482,0.273,0.0261,0.0116,1.36,0.63,1.0,1.11,1.68,0.0,1.68,0.851,1.01,0.851,0.661,–,0.661,0.324,0.273,0.324,7.5,7.5,10
L2_1_2X2_1_2X3_16,3.07,0.901,2.5,2.5,0.188,0.438,0.687,0.687,0.18,0.18,0.535,0.529,0.295,0.771,0.535,0.529,0.295,0.771,0.209,0.482,0.215,0.0114,0.0051,1.38,0.63,1.0,0.86,1.7,0.0,1.7,0.863,0.972,0.863,0.506,–,0.506,0.242,0.215,0.242,7.5,7.5,10
L2_1_2X2X3_8,5.3,1.55,2.0,2.5,0.375,0.625,0.578,0.826,0.31,0.433,0.914,0.982,0.546,0.766,0.513,0.657,0.361,0.574,0.273,0.419,0.295,0.0746,0.0268,1.22,–,0.612,1.15,1.29,0.403,1.63,0.88,0.924,0.541,0.891,2.85,0.706,0.31,0.295,0.505,7.0,6.5,9
L2_1_2X2X5_16,4.5,1.32,2.0,2.5,0.313,0.563,0.555,0.803,0.264,0.388,0.79,0.839,0.465,0.774,0.446,0.557,0.309,0.581,0.233,0.42,0.261,0.0444,0.0162,1.23,–,0.618,1.0,1.31,0.391,1.65,0.889,0.894,0.554,0.763,2.56,0.606,0.262,0.261,0.421,7.0,6.5,9
L2_1_2X2X1_4,3.62,1.07,2.0,2.5,0.25,0.5,0.532,0.779,0.214,0.36,0.656,0.688,0.381,0.782,0.372,0.454,0.253,0.589,0.192,0.423,0.213,0.0235,0.00868,1.25,–,0.624,0.837,1.33,0.38,1.68,0.9,0.864,0.565,0.629,2.2,0.498,0.213,0.222,0.34,7.0,6.5,9
