shape,weight,area,d,bf,tw,tf,k,y,yp,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,ro,H,PA,PB,PC,PD,WGi,WGo
WT4X7_5,7.5,2.22,4.06,4.02,0.245,0.315,0.615,0.998,0.276,3.28,1.91,1.07,1.22,1.7,1.33,0.849,0.876,0.0679,0.0382,1.72,0.76,11.8,15.8,12.1,16.2,2.25,–
WT4X6_5,6.5,1.92,4.0,4.0,0.23,0.255,0.555,1.03,0.24,2.89,1.74,0.974,1.23,1.36,1.07,0.682,0.843,0.0433,0.0269,1.74,0.733,11.7,15.7,12.0,16.0,2.25,–
WT4X5,5.0,1.48,3.95,3.94,0.17,0.205,0.505,0.953,0.188,2.15,1.27,0.717,1.2,1.05,0.826,0.531,0.84,0.0212,0.0114,1.7,0.749,11.5,15.4,11.8,15.8,2.25,–
WT3X12_5,12.5,3.67,3.19,6.08,0.32,0.455,0.705,0.61,0.302,2.29,1.68,0.886,0.789,8.53,4.28,2.81,1.52,0.229,0.171,1.76,0.953,12.1,18.2,12.5,18.5,3.5,–
WT3X10,10.0,2.94,3.1,6.02,0.26,0.365,0.615,0.56,0.244,1.76,1.29,0.693,0.774,6.64,3.36,2.21,1.5,0.12,0.0858,1.73,0.953,11.9,17.9,12.2,18.2,3.5,–
WT3X7_5,7.5,2.21,3.0,5.99,0.23,0.26,0.51,0.558,0.185,1.41,1.03,0.577,0.797,4.66,2.37,1.56,1.45,0.0504,0.0342,1.71,0.937,11.7,17.6,12.0,18.0,3.5,–
WT3X8,8.0,2.37,3.14,4.03,0.26,0.405,0.655,0.676,0.294,1.69,1.25,0.685,0.844,2.21,1.69,1.1,0.966,0.111,0.0426,1.37,0.88,10.0,14.0,10.3,14.3,2.25,–
WT3X6,6.0,1.78,3.02,4.0,0.23,0.28,0.53,0.677,0.222,1.32,1.01,0.564,0.862,1.5,1.16,0.748,0.918,0.0449,0.0178,1.37,0.846,9.7,13.7,10.0,14.0,2.25,–
WT3X4_5,4.5,1.34,2.95,3.94,0.17,0.215,0.465,0.623,0.17,0.95,0.72,0.408,0.842,1.1,0.856,0.557,0.905,0.0202,0.00736,1.34,0.852,9.5,13.4,9.84,13.8,2.25,–
WT3X4_25,4.25,1.26,2.92,3.94,0.17,0.195,0.445,0.637,0.16,0.905,0.7,0.397,0.848,0.995,0.778,0.505,0.89,0.0166,0.0062,1.34,0.839,9.44,13.4,9.78,13.7,2.25,–
WT2_5X9_5,9.5,2.78,2.58,5.03,0.27,0.43,0.73,0.487,0.276,1.01,0.97,0.485,0.604,4.56,2.76,1.81,1.28,0.157,0.0775,1.44,0.964,9.93,15.0,10.2,15.2,2.75,–
WT2_5X8,8.0,2.35,2.51,5.0,0.24,0.36,0.66,0.458,0.235,0.845,0.801,0.413,0.599,3.75,2.28,1.5,1.26,0.0958,0.0453,1.43,0.962,9.76,14.8,10.0,15.0,2.75,–
WT2X6_5,6.5,1.91,2.08,4.06,0.28,0.345,0.595,0.44,0.236,0.526,0.616,0.321,0.524,1.93,1.46,0.95,1.0,0.075,0.0233,1.16,0.947,7.95,12.0,8.22,12.3,2.25,–
